1. 	620 	Portal 2 	95,143 	1,134 	98.74% 	98.82%
2. 	427520 	Factorio 	23,701 	311 	98.53% 	98.70%
3. 	411960 	TY the Tasmanian Tiger 	1,284 	12 	98.26% 	99.07%
4. 	264200 	One Finger Death Punch 	11,881 	178 	98.26% 	98.52%
5. 	420530 	OneShot 	3,058 	41 	98.13% 	98.68%
6. 	400630 	Wuppo 	340 	1 	98.01% 	99.71%
7. 	341800 	Keep Talking and Nobody Explodes 	3,608 	57 	97.92% 	98.44%
8. 	424280 	Iron Snout 	10,265 	186 	97.91% 	98.22%
9. 	400 	Portal 	34,856 	690 	97.89% 	98.06%
10. 	435400 	Hidden Folks 	1,452 	19 	97.86% 	98.71%
11. 	344770 	fault - milestone two side:above 	845 	9 	97.83% 	98.95%
12. 	10 	Counter-Strike 	90,399 	1,956 	97.77% 	97.88%
13. 	436820 	Waltz of the Wizard 	708 	8 	97.60% 	98.88%
14. 	238460 	BattleBlock Theater 	37,698 	860 	97.59% 	97.77%
15. 	400910 	Rabi-Ribi 	3,994 	76 	97.59% 	98.13%
16. 	433950 	Bit Blaster XL 	3,630 	70 	97.54% 	98.11%
17. 	425580 	The Room Two 	3,156 	60 	97.52% 	98.13%
18. 	351640 	Eternal Senia 	7,871 	170 	97.50% 	97.89%
19. 	412830 	STEINS;GATE 	1,182 	18 	97.49% 	98.50%
20. 	250900 	The Binding of Isaac: Rebirth 	55,216 	1,351 	97.46% 	97.61%
21. 	471710 	Rec Room 	1,405 	23 	97.46% 	98.39%
22. 	32150 	Everyday Genius: SquareLogic 	261 	1 	97.43% 	99.62%
23. 	219150 	Hotline Miami 	36,372 	894 	97.42% 	97.60%
24. 	388210 	Day of the Tentacle Remastered 	1,660 	29 	97.42% 	98.28%
25. 	420110 	NEKOPARA Vol. 2 	6,700 	150 	97.38% 	97.81%
26. 	213670 	South Park™: The Stick of Truth™ 	29,804 	737 	97.38% 	97.59%
27. 	292030 	The Witcher 3: Wild Hunt 	97,551 	2,520 	97.37% 	97.48%
28. 	250320 	The Wolf Among Us 	18,065 	440 	97.36% 	97.62%
29. 	214560 	Mark of the Ninja 	12,696 	310 	97.30% 	97.62%
30. 	450390 	The Lab 	1,807 	35 	97.25% 	98.10%
31. 	324160 	CLANNAD 	1,122 	19 	97.25% 	98.33%
32. 	294100 	RimWorld 	13,874 	350 	97.23% 	97.54%
33. 	602520 	NEKOPARA Vol. 3 	3,402 	76 	97.19% 	97.81%
34. 	413150 	Stardew Valley 	57,448 	1,584 	97.16% 	97.32%
35. 	206190 	Gunpoint 	9,301 	236 	97.14% 	97.53%
36. 	227300 	Euro Truck Simulator 2 	96,565 	2,730 	97.13% 	97.25%
37. 	48700 	Mount & Blade: Warband 	55,445 	1,555 	97.11% 	97.27%
38. 	247080 	Crypt of the NecroDancer 	9,525 	247 	97.09% 	97.47%
39. 	227000 	Primordia 	1,343 	26 	97.08% 	98.10%
40. 	219740 	Don't Starve 	50,873 	1,447 	97.07% 	97.23%
41. 	447530 	VA-11 Hall-A: Cyberpunk Bartender Action 	4,091 	100 	97.03% 	97.61%
42. 	327140 	Tilt Brush 	610 	9 	97.01% 	98.55%
43. 	205100 	Dishonored 	32,710 	935 	97.01% 	97.22%
44. 	367580 	Hook 	4,802 	121 	97.00% 	97.54%
45. 	105600 	Terraria 	178,823 	5,415 	96.97% 	97.06%
46. 	220 	Half-Life 2 	46,538 	1,371 	96.96% 	97.14%
47. 	312990 	The Expendabros 	12,949 	362 	96.95% 	97.28%
48. 	413420 	Danganronpa 2: Goodbye Despair 	2,296 	53 	96.95% 	97.74%
